invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-31706800018,2020-11-05,4971,FAREWAY STORES #138 / PLEASANT HILL,"5500, E UNIVERSITY AVE",PLEASANT HILL,50327.0,POINT(-93.505732 41.599274),77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,60.0,90.0,1,90.0,0.05,0.01
INV-50397300006,2022-08-17,5406,CASEY'S GENERAL STORE # 2918/ CORALVILLE,2798 COMMERCE DR.,CORALVILLE,52241,POINT(-91.610614 41.695822),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-62692600001,2023-09-26,5649,THE DEPOT TIFFIN,221 W MARENGO RD,TIFFIN,52340.0,POINT(-91.665702468 41.706714724),,JOHNSON,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-56229300133,2023-02-28,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT(-90.48373 41.55236),,SCOTT,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-63832000001,2023-10-31,5526,RANDALL'S STOP N SHOP,320 5TH ST,HUDSON,50643.0,POINT(-92.455012962 42.406134001),,BLACK HAWK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-48070500036,2022-06-06,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,,77,POLK,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-53674600024,2022-12-05,4530,CASEY'S GENERAL STORE #2566 / ELY,1495 STATE ST,ELY,52227,POINT(-91.58709 41.87257),,LINN,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-71522000001,2024-06-24,4604,PIT STOP LIQUORS / NEWTON,"1324, 1ST AVE E",NEWTON,50208.0,POINT(-93.035735019 41.699423013),,JASPER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-43748000029,2022-01-12,4655,CASEY'S GENERAL STORE #2237 / PRAIRIE CITY,1002 W 2ND ST,PRAIRIE CITY,50228.0,POINT(-93.247591 41.596714),50,JASPER,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-56582000013,2023-03-10,5858,TAYLOR QUIK PIK - SHELBY,12 EAST STREET,SHELBY,51570,POINT(-95.45172 41.50081),,POTTAWATTAMIE,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-34593200067,2021-02-25,5251,NORTHSIDE LIQUOR,1303 NORTH FEDERAL,MASON CITY,50401.0,POINT(-93.201061 43.163663),17,CERRO GORDO,1081600.0,WHISKEY LIQUEUR,421.0,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
INV-52762700060,2022-11-04,4291,FAREWAY STORES #597 / CRESTON,105 E ADAMS ST,CRESTON,50801,POINT(-94.36134 41.05731),,UNION,1081600.0,WHISKEY LIQUEUR,421,SAZERAC COMPANY  INC,100413,FIREBALL CINNAMON WHISKEY PARTY BUCKET,1,50,51.6,77.4,1,77.4,0.05,0.01
